Bug ID,Bug Title,Steps,Module,Module Wise,Expected Results,Actual Results,Acceptance Criteria
BUG-0001,Funds transfer not updating balance #0,Step 1: Insert card into ATM -> Step 2: Enter PIN -> Step 3: Select PIN Change option -> Step 4: Enter current PIN -> Step 5: Enter new PIN and confirm -> Step 6: Verify PIN change success message -> Step 7: Eject card and test new PIN with balance inquiry,ATM Services,ATM Services Wise,ATM PIN change should be processed successfully and the new PIN should work immediately for subsequent transactions,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0002,ATM withdrawal receipt missing #1,Step 1: Navigate to Forgot Password page -> Step 2: Enter registered email/phone -> Step 3: Click Send Reset Link -> Step 4: Open reset link from email -> Step 5: Enter new password and confirm -> Step 6: Verify password reset success message,Authentication,Authentication Wise,Session should expire after the configured timeout period and user should be redirected to the login page with an expiry message,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0003,Duplicate transaction in statement #2,Step 1: Login to net banking -> Step 2: Go to Account Management > Profile Settings -> Step 3: Click Update Address -> Step 4: Enter new address details -> Step 5: Upload address proof document -> Step 6: Submit update request -> Step 7: Verify address update pending approval message,Account Management,Account Management Wise,Account closure request should be processed with final balance settlement details and a closure confirmation receipt,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0004,ATM withdrawal receipt missing #3,Step 1: Download and install mobile banking app -> Step 2: Open app and tap Register -> Step 3: Enter account number and registered mobile number -> Step 4: Verify OTP sent to mobile -> Step 5: Enter OTP -> Step 6: Set login password and MPIN -> Step 7: Verify registration success and dashboard is displayed,Mobile Banking,Mobile Banking Wise,"Mobile app should display all account details, recent transactions, and balance accurately upon login",System failed to perform as expected,Operation must meet functional and business requirements
BUG-0005,Duplicate transaction in statement #4,Step 1: Login to banking portal -> Step 2: Navigate to Account Management > Linked Accounts -> Step 3: Click Link New Account -> Step 4: Enter account number and verify ownership via OTP -> Step 5: Verify linked account appears in dashboard -> Step 6: Test switching between linked accounts,Account Management,Account Management Wise,Nominee details should be updated successfully and reflected in the account summary after approval,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0006,Duplicate transaction in statement #5,"Step 1: Login to the banking portal -> Step 2: Navigate to Statements section -> Step 3: Select account number from dropdown -> Step 4: Choose statement period (From Date - To Date) -> Step 5: Click Generate Statement -> Step 6: Verify transactions listed with date, description, debit, credit, and balance columns -> Step 7: Click Download as PDF/CSV",Statements,Statements Wise,E-statement should be delivered to the registered email address within 5 minutes with a valid PDF attachment,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0007,Funds transfer not updating balance #6,Step 1: Login to net banking -> Step 2: Go to Notifications > Notification History -> Step 3: Filter by date range and type -> Step 4: Verify list of past notifications displayed -> Step 5: Click on a notification to view full details -> Step 6: Check mark as read/unread functionality,Notifications,Notifications Wise,Transaction alert should be received on the selected channel (SMS/Email/Push) within 60 seconds of the transaction exceeding the threshold,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0008,Funds transfer not updating balance #7,Step 1: Login to net banking -> Step 2: Go to Notifications > Notification History -> Step 3: Filter by date range and type -> Step 4: Verify list of past notifications displayed -> Step 5: Click on a notification to view full details -> Step 6: Check mark as read/unread functionality,Notifications,Notifications Wise,Transaction alert should be received on the selected channel (SMS/Email/Push) within 60 seconds of the transaction exceeding the threshold,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0009,Funds transfer not updating balance #8,Step 1: Login to banking portal -> Step 2: Navigate to Account Management > Linked Accounts -> Step 3: Click Link New Account -> Step 4: Enter account number and verify ownership via OTP -> Step 5: Verify linked account appears in dashboard -> Step 6: Test switching between linked accounts,Account Management,Account Management Wise,Account closure request should be processed with final balance settlement details and a closure confirmation receipt,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0010,Duplicate transaction in statement #9,Step 1: Login to net banking -> Step 2: Go to Loans > My Loans -> Step 3: Select active loan account -> Step 4: Click View EMI Schedule -> Step 5: Verify EMI breakdown with principal and interest components -> Step 6: Check prepayment/foreclosure options are available,Loans,Loans Wise,Loan prepayment/foreclosure option should be available with correct penalty calculation and updated outstanding balance,System failed to perform as expected,Operation must meet functional and business requirements
